   -1 inaro.wallpaper call            surfaceflinger
    3 0.000           196.51229       binder_thread_read
    2 366.211         196.51229       binder_ioctl
    3 0.000           196.51229       binder_get_thread
    3 0.000           196.51232       binder_thread_write
    4 0.000           196.51232       binder_transaction_buffer_release
    5 0.000           196.51232       binder_dec_node
    4 0.000           196.51232       binder_free_buf
    5 0.000           196.51232       binder_update_page_range
    5 0.000           196.51232       binder_delete_free_buffer
    5 0.000           196.51232       binder_insert_free_buffer
    3 274.659         196.51232       binder_thread_read
    4 0.000           196.51232       binder_set_nice
    2 61.035          196.51242       binder_ioctl
    3 0.000           196.51242       binder_get_thread
    3 61.035          196.51242       binder_thread_write
    4 0.000           196.51242       binder_transaction_buffer_release
    4 61.035          196.51242       binder_free_buf
    5 0.000           196.51242       binder_update_page_range
    5 0.000           196.51248       binder_delete_free_buffer
    5 0.000           196.51248       binder_insert_free_buffer
    2 122.070         196.52285       binder_ioctl
    3 0.000           196.52285       binder_get_thread
    3 122.070         196.52285       binder_thread_write
    4 122.070         196.52285       binder_transaction
    5 0.000           196.52294       binder_update_page_range
    5 0.000           196.52294       binder_insert_free_buffer
    5 0.000           196.52294       binder_inc_node
    3 0.000           196.52297       binder_thread_read
    2 35827.63        196.52297       binder_ioctl
    3 0.000           196.52297       binder_get_thread
    3 152.588         196.52297       binder_thread_read
    3 0.000           196.52301       binder_set_nice
    1 91.553          196.52304       binder_ioctl
    2 0.000           196.52304       binder_get_thread
    2 91.553          196.52304       binder_thread_write
    3 91.553          196.52310       binder_transaction
    4 0.000           196.52310       binder_set_nice
    4 0.000           196.52310       binder_update_page_range
    4 0.000           196.52310       binder_insert_free_buffer
    4 0.000           196.52310       binder_pop_transaction
    2 0.000           196.52313       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 39215.08        196.51199       binder_ioctl
    1 0.000           196.51202       binder_get_thread
    1 61.035          196.51202       binder_thread_write
    2 0.000           196.51202       binder_transaction_buffer_release
    2 30.518          196.51202       binder_free_buf
